Account Name,Account ID,OU Name,OU ID
"gonzodatalake","985539799804","Rgonzo","ou-7z1h-vaum8fcy"
"gonzodatascience","692859932239","Rgonzo","ou-7z1h-vaum8fcy"
"gonzoanalytics","637423577632","Rgonzo","ou-7z1h-vaum8fcy"
"Ben","098789448788","Rgonzo","ou-7z1h-vaum8fcy"
"gonzoprogramming","529088281001","Rgonzo","ou-7z1h-vaum8fcy"
"slu-data-science","442426862308","SLU","ou-7z1h-26gd2tq2"
"slu-data-lake","841162665398","SLU","ou-7z1h-26gd2tq2"
"slu-applied-analytics","761018881748","SLU","ou-7z1h-26gd2tq2"
"slu-programming","509399635729","SLU","ou-7z1h-26gd2tq2"
